fixation_omission_rate,fixation_regression_rate,max_regression_distance,max_skip_distance,mean_FFD,mean_GD,mean_GPT,mean_TRT,mean_meanPupilSize,mean_nFixations,participant_id,regressed_words,regressed_words_count,regression_pairs,sentence_content,sentence_id,sentence_length,skip_pairs,skipped_words,skipped_words_count,word_regression_rate,word_sequence,word_skip_rate
0.26666666666666666,0.4,1,1,121.0909090909091,202.8181818181818,324.27272727272725,253.45454545454547,793.1742424242424,1.8181818181818181,ZJN,"8,9",2,"(9,8); (10,9)","With his interest in race cars, he formed a second company, the Henry Ford Company.",0,15,"(0,2); (2,4); (5,7); (7,9); (8,10); (10,12)","1,3,6,8,9,11",6,0.13333333333333333,"0,2,4,4,5,7,9,8,10,9,10,12,12,13,14,14,14,14",0.4
0.2222222222222222,0.4117647058823529,1,2,136.0,200.8095238095238,235.38095238095238,214.04761904761904,776.4460317460317,1.619047619047619,ZJN,"1,9",2,"(2,1); (10,9)","During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901.",1,27,"(0,2); (1,4); (5,7); (8,10); (9,11); (15,17); (18,21); (22,24)","1,2,3,6,9,10,16,19,20,23",10,0.07407407407407407,"0,0,2,1,4,4,5,5,7,7,7,8,10,9,11,11,12,13,14,15,17,17,17,18,18,21,22,24,24,25,26,26,17,17",0.37037037037037035
0.30434782608695654,0.4375,2,2,130.9375,199.1875,272.875,265.25,755.5552083333334,2.0,ZJN,"8,13,20",3,"(9,8); (15,13); (22,20)","Ford was forced out of the company by the investors, including Henry M. Leland in 1902, and the company was reorganized as Cadillac.",2,23,"(0,2); (3,5); (6,8); (8,10); (11,13); (13,15); (13,15); (15,18); (20,22); (20,22)","1,4,7,9,12,14,16,17,21",9,0.13043478260869565,"0,2,2,3,5,6,6,8,9,8,10,10,11,11,13,13,13,15,13,13,15,18,18,19,20,20,22,22,20,22,22",0.391304347826087
0.16216216216216217,0.42857142857142855,1,2,131.90322580645162,175.80645161290323,229.96774193548387,202.2258064516129,728.1612903225807,1.5806451612903225,ZJN,"2,15,19,21,35",5,"(3,2); (16,15); (20,19); (22,21); (36,35)","In 1891, Ford became an engineer with the Edison Illuminating Company, and after his promotion to Chief Engineer in 1893, he had enough time and money to devote attention to his personal experiments on internal combustion engines.",3,37,"(3,5); (6,8); (10,12); (14,16); (15,17); (18,20); (19,22); (21,23); (25,27); (28,30); (32,34)","4,7,11,15,16,19,20,21,22,26,29,33",12,0.13513513513513514,"0,1,1,2,3,2,3,5,5,6,6,8,8,9,9,10,10,12,13,14,16,15,17,17,18,20,19,19,22,21,23,24,25,27,27,28,30,31,31,32,34,34,35,35,36,36,35,25",0.32432432432432434
0.32,0.41935483870967744,2,3,125.23529411764706,208.58823529411765,271.88235294117646,240.7058823529412,750.3039215686274,1.8235294117647058,ZJN,"5,10,22",3,"(6,5); (11,10); (24,22)","These experiments culminated in 1896 with the completion of his own self-propelled vehicle named the Quadricycle, which he test-drove on June 4 of that year.",4,25,"(2,4); (4,6); (5,7); (7,11); (13,15); (16,18); (18,20); (20,22); (22,24); (22,24)","3,5,6,8,9,10,14,17,19,21,23",11,0.12,"0,0,1,2,2,2,4,4,4,6,5,7,7,11,10,10,11,12,13,15,15,15,16,18,18,20,22,24,22,24",0.44
0.12121212121212122,0.4230769230769231,5,2,128.68965517241378,179.75862068965517,328.58620689655174,220.06896551724137,740.2068965517242,1.793103448275862,ZJN,"1,2,8,10,14,18,27,28,29",9,"(2,1); (5,2); (9,8); (12,10); (15,14); (19,18); (30,28); (30,29); (32,27)","Ford was born on a prosperous farm in Springwells Township (now in the city of Dearborn, Michigan) owned by his parents, William Ford (1826-1905) and Mary Litogot (c1839-1876), immigrants from County Cork, Ireland.",5,33,"(0,2); (1,4); (2,4); (6,8); (9,12); (10,13); (13,15); (14,16); (17,19); (18,20); (23,25); (27,30); (28,30); (29,31)","1,2,3,7,10,11,12,14,15,18,19,24,28,29,30",15,0.2727272727272727,"0,2,1,4,5,2,4,5,6,6,8,8,9,8,9,9,12,10,13,15,15,14,16,16,17,17,19,18,20,20,21,22,23,23,23,25,26,27,27,27,30,28,28,30,29,31,32,32,27,27,27",0.45454545454545453
0.15384615384615385,0.43333333333333335,2,6,117.18181818181819,140.0,1044.0,373.6363636363636,805.0878787878787,2.727272727272727,ZJN,"3,4,5,10,11",5,"(5,4); (6,5); (5,3); (5,4); (11,10); (12,11); (11,10)","In the years between the wars, Henry Ford supported Adolf Hitler's Nazi regime.",6,13,"(3,5); (4,6); (4,6); (6,8); (9,11); (10,12); (3,10)","4,5,6,7,8,9,10,11",8,0.38461538461538464,"1,2,3,5,4,6,6,5,3,4,5,4,6,8,8,9,11,10,11,12,12,11,10,12,12,3,10",0.6153846153846154
0.045454545454545456,0.3103448275862069,1,2,130.66666666666666,141.33333333333334,208.85714285714286,177.0,743.0396825396825,1.380952380952381,ZJN,"2,5,8,10,16,19",6,"(3,2); (6,5); (9,8); (11,10); (17,16); (20,19)",There is also some evidence that Henry Ford gave Adolf Hitler direct financial backing when Hitler was first starting out in politics.,7,22,"(0,3); (4,6); (9,11); (10,12); (15,17); (16,18); (18,20); (19,21)","1,2,5,10,11,16,17,19,20",9,0.2727272727272727,"0,3,2,3,4,6,5,6,7,8,9,8,9,11,11,10,12,12,13,14,15,17,16,18,20,19,21,11,12",0.4090909090909091
0.24390243902439024,0.4576271186440678,4,5,129.2258064516129,174.38709677419354,313.0967741935484,244.3548387096774,731.5537634408603,1.903225806451613,ZJN,"1,6,18,26,29,34,38",7,"(5,1); (7,6); (19,18); (19,18); (27,26); (30,29); (35,34); (40,38)","This can in part be traced to statements from Kurt Ludecke, Germany's representative to the U.S. in the 1920s, and Winifred Wagner, daughter-in-law of Richard Wagner, who said they requested funds from Ford to aid the National Socialist movement in Germany.",8,41,"(1,3); (3,5); (1,3); (3,5); (5,7); (6,8); (8,10); (14,17); (18,20); (22,24); (26,29); (30,32); (32,35); (34,36); (37,40); (38,40); (34,40)","2,4,6,7,9,15,16,19,23,27,28,31,33,34,35,36,37,38,39",19,0.17073170731707318,"0,1,3,5,1,3,5,5,7,7,6,8,8,10,10,11,11,12,13,14,14,17,18,19,18,19,18,20,20,21,21,22,22,22,24,24,25,25,26,27,26,29,29,30,29,30,32,35,34,36,36,37,40,38,40,40,34,40",0.4634146341463415
0.13333333333333333,0.34545454545454546,2,16,145.0,168.42307692307693,372.2692307692308,291.34615384615387,743.2980769230769,2.1153846153846154,ZJN,"5,6,9,15,18,28",6,"(6,5); (8,6); (16,15); (19,18); (29,28); (10,9)","Although Ford is often credited with the idea, contemporary sources indicate that the concept and its development came from employees Clarence Avery, Peter E. Martin, Charles E. Sorensen, and C.H.",9,30,"(1,3); (4,6); (5,7); (7,9); (10,12); (13,15); (17,19); (18,20); (25,27); (27,29); (13,15); (17,19); (19,27); (27,29); (5,7); (8,10); (10,27); (27,29)","2,5,6,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28",22,0.2,"0,1,3,4,6,5,7,8,8,6,7,9,9,10,12,13,15,15,16,16,15,16,17,19,19,18,20,21,22,23,24,25,27,29,28,29,13,13,15,16,17,19,27,29,4,5,7,8,10,9,10,27,29,21",0.7333333333333333
