fixation_omission_rate,fixation_regression_rate,max_regression_distance,max_skip_distance,mean_FFD,mean_GD,mean_GPT,mean_TRT,mean_meanPupilSize,mean_nFixations,participant_id,regressed_words,regressed_words_count,regression_pairs,sentence_content,sentence_id,sentence_length,skip_pairs,skipped_then_regressed_proportion,skipped_words,skipped_words_count,word_regression_rate,word_sequence,word_skip_rate
0.2,0.3888888888888889,1,2,138.41666666666666,138.41666666666666,238.08333333333334,204.66666666666666,578.0763888888888,1.5,ZKB,"2,12,13",3,"(3,2); (13,12); (14,13)","With his interest in race cars, he formed a second company, the Henry Ford Company.",0,15,"(0,2); (2,5); (7,9); (10,13)",0.3333333333333333,"1,3,4,8,11,12",6,0.2,"0,2,3,2,5,6,7,9,10,13,3,13,12,13,14,13",0.4
0.25925925925925924,0.3953488372093023,2,2,106.45,158.75,299.35,229.35,545.345,2.15,ZKB,"9,10,14,18,20,21,25",8,"(10,9); (11,10); (10,9); (15,14); (20,18); (21,20); (22,21); (26,25)","During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901.",1,27,"(1,3); (5,7); (8,10); (9,11); (11,13); (15,17); (17,20); (20,22); (21,24)",0.5714285714285714,"2,6,9,10,12,16,18,19,21,22,23",11,0.2962962962962963,"1,3,4,4,5,7,7,7,7,7,8,10,9,11,10,9,9,11,13,14,15,14,15,15,17,17,20,18,20,21,20,22,22,22,21,24,25,25,26,26,25,14",0.4074074074074074
0.08695652173913043,0.4507042253521127,4,3,92.85714285714286,116.28571428571429,385.85714285714283,333.0,570.2634920634921,3.380952380952381,ZKB,"0,2,3,5,8,10,11,12,13,15,17,18,20",22,"(2,0); (6,3); (9,8); (11,10); (11,10); (13,12); (12,11); (15,13); (22,20); (20,18); (19,18); (18,15); (15,13); (15,13); (13,11); (11,10); (18,17); (9,5); (6,2); (11,10); (21,20); (21,20)","Ford was forced out of the company by the investors, including Henry M. Leland in 1902, and the company was reorganized as Cadillac.",2,23,"(0,2); (3,6); (3,5); (6,9); (8,11); (10,12); (11,15); (20,22); (19,21)",0.5384615384615384,"1,4,5,7,8,9,10,11,12,13,14,20,21",14,0.9565217391304348,"0,2,0,2,3,6,3,5,6,9,8,11,10,10,11,10,12,13,12,11,15,15,13,15,16,17,18,19,20,20,22,20,18,19,19,18,15,13,22,22,15,13,11,10,13,13,18,17,18,9,5,6,2,2,6,9,11,10,13,14,16,18,19,21,20,21,20,22,13",0.6086956521739131
0.16216216216216217,0.3968253968253968,2,3,109.3225806451613,126.70967741935483,362.8709677419355,240.74193548387098,554.8317204301076,2.032258064516129,ZKB,"1,3,7,9,11,12,14,16,19,27,28,31,35",14,"(4,3); (3,1); (8,7); (10,9); (13,12); (14,12); (12,11); (17,16); (16,14); (21,19); (28,27); (30,28); (32,31); (36,35)","In 1891, Ford became an engineer with the Edison Illuminating Company, and after his promotion to Chief Engineer in 1893, he had enough time and money to devote attention to his personal experiments on internal combustion engines.",3,37,"(3,5); (9,13); (12,14); (17,21); (22,24); (24,26); (29,32); (32,34)",0.3076923076923077,"4,10,11,12,13,18,19,20,23,25,30,31,33",13,0.3783783783783784,"1,1,1,1,2,3,4,3,1,1,3,5,6,7,8,7,8,8,9,10,9,13,12,14,12,11,14,14,15,16,17,16,16,14,16,17,17,21,19,21,22,24,26,27,28,27,27,28,28,28,29,30,28,29,32,31,32,34,35,36,35",0.35135135135135137
0.28,0.4117647058823529,2,3,106.55555555555556,163.61111111111111,391.77777777777777,359.8888888888889,557.0166666666667,2.8333333333333335,ZKB,"1,2,4,9,10,15",7,"(4,2); (11,10); (10,9); (6,4); (4,2); (2,1); (16,15)","These experiments culminated in 1896 with the completion of his own self-propelled vehicle named the Quadricycle, which he test-drove on June 4 of that year.",4,25,"(2,4); (4,6); (7,11); (13,15); (1,5); (16,18); (18,20); (20,23)",0.6666666666666666,"2,3,4,5,8,9,10,14,17,19,21,22",13,0.28,"0,1,1,2,4,2,4,4,4,4,6,7,7,7,7,7,7,11,10,9,11,11,11,12,13,15,15,16,6,4,2,1,1,5,5,16,15,16,18,18,20,23,24,2,4,5,23,15,15,4",0.52
0.21212121212121213,0.42424242424242425,5,3,99.26923076923077,141.19230769230768,384.15384615384613,293.9230769230769,554.2179487179487,2.5384615384615383,ZKB,"5,6,8,11,20,21,22,23,26,28,31",12,"(6,5); (9,8); (8,6); (13,11); (21,20); (23,22); (22,21); (23,22); (27,23); (30,28); (32,31); (31,26)","Ford was born on a prosperous farm in Springwells Township (now in the city of Dearborn, Michigan) owned by his parents, William Ford (1826-1905) and Mary Litogot (c1839-1876), immigrants from County Cork, Ireland.",5,33,"(0,2); (2,5); (5,8); (9,13); (11,15); (17,19); (19,21); (21,23); (22,25); (27,30); (30,32)",0.6363636363636364,"1,3,4,6,7,10,11,12,13,14,18,20,22,23,24,28,29,31",19,0.36363636363636365,"0,2,5,6,5,8,9,9,8,6,7,8,9,13,11,15,16,17,17,19,21,20,21,23,22,21,23,23,23,22,25,26,26,26,26,26,27,27,27,27,27,23,27,27,30,28,29,30,32,31,26,31,23,23,23,23,27,27,27,27",0.5757575757575758
0.3076923076923077,0.34615384615384615,2,2,97.0,109.11111111111111,558.2222222222222,337.3333333333333,591.5296296296297,2.888888888888889,ZKB,"8,10,11",6,"(12,11); (11,10); (10,8); (9,8); (9,8); (12,11)","In the years between the wars, Henry Ford supported Adolf Hitler's Nazi regime.",6,13,"(3,5); (5,7); (8,11)",0.3333333333333333,"4,6,9,10",4,0.46153846153846156,"2,2,3,5,7,8,2,3,3,5,7,8,11,12,11,10,8,9,8,9,8,12,11,2,3",0.3076923076923077
0.22727272727272727,0.38461538461538464,2,2,113.05882352941177,121.82352941176471,196.64705882352942,171.2941176470588,587.9411764705883,1.5294117647058822,ZKB,"11,14,20",4,"(12,11); (13,11); (15,14); (21,20)",There is also some evidence that Henry Ford gave Adolf Hitler direct financial backing when Hitler was first starting out in politics.,7,22,"(1,3); (5,7); (7,9); (9,11); (11,13); (14,16); (18,21)",0.3333333333333333,"2,6,8,10,12,15,19,20",8,0.18181818181818182,"1,3,4,4,5,7,9,11,12,11,13,11,12,13,14,15,15,14,16,17,18,21,20,11,21,2",0.36363636363636365
0.21951219512195122,0.37735849056603776,2,3,108.8125,129.78125,215.40625,183.71875,539.0416666666666,1.65625,ZKB,"2,3,14,16,20,22,38",11,"(4,3); (3,2); (18,16); (16,14); (21,20); (21,20); (24,22); (24,22); (39,38); (5,3); (3,2)","This can in part be traced to statements from Kurt Ludecke, Germany's representative to the U.S. in the 1920s, and Winifred Wagner, daughter-in-law of Richard Wagner, who said they requested funds from Ford to aid the National Socialist movement in Germany.",8,41,"(2,4); (2,6); (7,10); (13,16); (16,18); (19,21); (20,22); (22,24); (25,27); (27,29); (32,34); (37,39); (38,40)",0.5714285714285714,"3,4,5,8,9,14,15,17,20,21,23,26,28,33,38,39",17,0.2682926829268293,"1,2,4,3,2,6,7,10,10,10,11,11,12,13,16,18,16,14,18,18,19,21,20,21,20,22,22,24,22,24,22,24,25,27,27,29,29,30,31,31,32,34,35,36,37,39,38,40,32,35,5,3,2",0.4146341463414634
0.26666666666666666,0.42,0,0,124.77272727272727,168.04545454545453,363.95454545454544,278.40909090909093,559.4280303030303,2.272727272727273,ZKB,,0,,"Although Ford is often credited with the idea, contemporary sources indicate that the concept and its development came from employees Clarence Avery, Peter E. Martin, Charles E. Sorensen, and C.H.",9,30,,0.0,,0,0.0,0,0.0
