word,original_forms,length,frequency,log_frequency,difficulty,skip_probability,regression_probability,total_occurrences
with,"With, with",4,5048.330000000029,3.7031477361914136,0.6633502058007807,0.5864485981308412,0.1542056074766355,428
his,"(his, His, his",3,2124.780000000024,3.3273139698064087,0.6975169118357705,0.5166666666666667,0.09555555555555556,900
interest,interest,8,50.940000000000026,1.7070589406275969,0.8448128235793095,0.36363636363636365,0.2727272727272727,22
in,"In, in",2,9773.410000000136,3.9900461180479074,0.6372685347228627,0.6491228070175439,0.07309941520467836,3078
race,race,4,61.900000000000006,1.7916906490201183,0.8371190319072618,0.45454545454545453,0.09090909090909091,22
cars,"cars,",4,45.63,1.6592504687726615,0.8491590482933945,0.45454545454545453,0.09090909090909091,11
he,"He, he, he,",2,7637.199999999891,3.882934163885085,0.6470059851013656,0.30713342140026423,0.043593130779392336,1514
formed,formed,6,4.730000000000003,0.6748611407378111,0.9386489872056533,0.30434782608695654,0.043478260869565216,23
a,"A., a",1,20415.269999999728,4.309955128012912,0.6081858974533804,0.7189157336476134,0.07542722451384797,1697
second,"Second, second",6,284.5699999999998,2.4541891138747656,0.7768918987386567,0.42857142857142855,0.23214285714285715,56
company,"Company, Company,, Company., company, company,, company.",7,147.20000000000044,2.167907810001473,0.8029174718180483,0.22981366459627328,0.062111801242236024,161
the,"""The, (the, The, [the, the",3,29449.180000003023,4.469073206544833,0.5937206175868068,0.6324139614351965,0.10129362948498902,4097
henry,Henry,5,76.54999999999977,1.8839451950342836,0.8287322549968815,0.3817204301075269,0.22043010752688172,186
ford,"Ford, Ford,",4,11.509999999999993,1.0610753236297898,0.9035386069427476,0.4394904458598726,0.22929936305732485,157
during,"During, during",6,75.92000000000006,1.8803561994192308,0.829058527325526,0.16774193548387098,0.15483870967741936,155
this,"This, this",4,7978.729999999988,3.9019337688086297,0.6452787482901244,0.5142857142857142,0.11428571428571428,105
period,"period,",6,27.779999999999987,1.4437322414015972,0.8687516144180367,0.4782608695652174,0.0,23
personally,personally,10,36.67000000000001,1.564310909960603,0.8577899172763087,0.18181818181818182,0.09090909090909091,11
drove,drove,5,28.86000000000001,1.4602963267574756,0.8672457884765931,0.45454545454545453,0.18181818181818182,11
quadricycle,"Quadricycle, Quadricycle,",11,1.0,0.0,1.0,0.13636363636363635,0.09090909090909091,22
to,"to, to.",2,22677.839999999862,4.35560168687181,0.6040362102843608,0.7448840381991815,0.09345156889495225,1466
victory,victory,7,21.449999999999992,1.3314272965207432,0.8789611548617505,0.7272727272727273,0.7272727272727273,11
against,against,7,201.72999999999982,2.30477048852326,0.7904754101342492,0.3142857142857143,0.02857142857142857,35
alexander,Alexander,9,9.509999999999996,0.978180516937414,0.9110744984602349,0.08823529411764706,0.29411764705882354,34
winton,"Winton,",6,1.0,0.0,1.0,0.18181818181818182,0.0,11
wellknown,well-known,9,1.0,0.0,1.0,0.2727272727272727,0.0,11
driver,driver,6,47.37,1.6755033847279568,0.8476815104792764,0.7272727272727273,0.45454545454545453,11
and,"(and, And, and, and,",3,13387.839999999864,4.126710513401085,0.6248444987817635,0.6243298969072165,0.07587628865979382,2425
heavy,heavy,5,47.290000000000006,1.674769314015426,0.8477482441804157,0.5454545454545454,0.45454545454545453,11
favorite,favorite,8,59.45,1.77415185895471,0.8387134673677537,0.5454545454545454,0.18181818181818182,11
on,"On, on",2,6955.729999999983,3.8423427156846564,0.6506961167559442,0.6118143459915611,0.11814345991561181,474
october,"October, October,",7,9.919999999999993,0.9965116721541784,0.9094080298041671,0.5142857142857142,0.07142857142857142,70
10,"10,",2,1.0,0.0,1.0,0.43478260869565216,0.2608695652173913,23
1901,"1901, 1901.",4,1.0,0.0,1.0,0.391304347826087,0.08695652173913043,23
was,"Was, Was,, was",3,5654.7300000002515,3.7524118732208227,0.6588716478890057,0.4471590909090909,0.11818181818181818,1760
forced,forced,6,26.449999999999992,1.4224256763712047,0.870688574875345,0.2727272727272727,0.18181818181818182,11
out,out,3,3865.309999999998,3.5871843303088067,0.67389233360829,0.5,0.18181818181818182,44
of,of,2,11577.239999999392,4.06360503645196,0.6305813603225405,0.7504850601474583,0.07683352735739232,2577
by,"By, by",2,1340.469999999992,3.127257098825995,0.715703900106726,0.7375886524822695,0.08865248226950355,282
investors,"investors,",9,3.2400000000000015,0.5105450102066121,0.9535868172539442,0.45454545454545453,0.0,11
including,including,9,27.55000000000001,1.4401216031878048,0.8690798542556547,0.3191489361702128,0.22340425531914893,94
m,M.,1,1.0,0.0,1.0,0.5454545454545454,0.09090909090909091,11
leland,Leland,6,1.0,0.0,1.0,0.2727272727272727,0.2727272727272727,11
1902,"1902,, 1902.",4,1.0,0.0,1.0,0.045454545454545456,0.045454545454545456,22
reorganized,reorganized,11,0.17999999999999997,-0.7447274948966939,1.067702499536063,0.18181818181818182,0.7272727272727273,11
as,"As, as",2,2217.020000000015,3.3457696109541226,0.6958391262769004,0.6687116564417178,0.11288343558282209,815
cadillac,Cadillac.,8,5.730000000000001,0.7581546219673899,0.931076852548419,0.0,0.0,11
1891,"1891,",4,1.0,0.0,1.0,0.09090909090909091,0.5454545454545454,11
became,became,6,47.75,1.67897337591976,0.8473660567345688,0.28187919463087246,0.12080536912751678,149
an,"(an, an",2,1864.1400000000112,3.270478525477319,0.7026837704111486,0.6606217616580311,0.06735751295336788,386
engineer,"Engineer, engineer",8,11.69,1.0678145111618396,0.9029259535307417,0.36363636363636365,0.13636363636363635,22
edison,Edison,6,2.39,0.37839790094813763,0.9656001908228966,0.6363636363636364,0.09090909090909091,11
illuminating,Illuminating,12,0.4699999999999998,-0.32790214206428253,1.0298092856422072,0.45454545454545453,0.2727272727272727,11
after,"After, after",5,682.5899999999974,2.8341599215391278,0.7423490980418989,0.32160804020100503,0.11055276381909548,199
promotion,promotion,9,10.92,1.0382226383687188,0.905616123784662,0.5454545454545454,0.09090909090909091,11
chief,Chief,5,77.89999999999999,1.8915374576725648,0.8280420493024944,0.5454545454545454,0.18181818181818182,11
1893,"1893,",4,1.0,0.0,1.0,0.6363636363636364,0.6363636363636364,11
had,had,3,1675.9200000000035,3.2242532837526183,0.7068860651133955,0.3930635838150289,0.13872832369942195,173
enough,enough,6,501.33,2.7001236939300726,0.7545342096427207,0.2727272727272727,0.09090909090909091,11
time,"time, time,, time.",4,1958.6300000000015,3.2919524022351534,0.7007315997968038,0.3620689655172414,0.034482758620689655,58
money,money,5,640.7600000000001,2.8066953927118097,0.7448458733898352,0.45454545454545453,0.09090909090909091,22
devote,devote,6,1.9600000000000006,0.29225607135647597,0.9734312662403203,0.18181818181818182,0.09090909090909091,11
attention,attention,9,98.66999999999999,1.9941851282023177,0.8187104428906984,0.0,0.2727272727272727,11
personal,personal,8,91.66999999999997,1.9622272313500846,0.8216157062409016,0.2727272727272727,0.36363636363636365,11
experiments,experiments,11,6.569999999999997,0.8175653695597805,0.9256758754945656,0.13636363636363635,0.22727272727272727,22
internal,internal,8,9.840000000000002,0.9929950984313417,0.9097277183244235,0.2727272727272727,0.36363636363636365,11
combustion,combustion,10,1.25,0.09691001300805645,0.9911899988174493,0.0,0.18181818181818182,11
engines,engines.,7,10.650000000000002,1.0273496077747564,0.9066045811113859,0.0,0.0,11
these,These,5,904.0,2.956168430475363,0.7312574154113306,0.0,0.09090909090909091,11
culminated,culminated,10,0.09999999999999999,-1.0,1.0909090909090906,0.18181818181818182,0.09090909090909091,11
1896,"1896, 1896,, 1896.",4,1.0,0.0,1.0,0.12121212121212122,0.21212121212121213,33
completion,completion,10,1.5500000000000005,0.19033169817029147,0.9826971183481554,0.09090909090909091,0.0,11
own,own,3,459.1999999999999,2.6620018793899165,0.7579998291463711,0.9090909090909091,0.5454545454545454,11
