word,original_forms,difficulty,regression_probability,total_occurrences
immigrants,immigrants,0.9837293684278936,0.8181818181818182,11
efforts,efforts,0.9212466055378007,0.75,12
works,works,0.8162404806289613,0.75,12
10000,"10,000",1.0,0.75,12
response,response,0.8902885567243769,0.7272727272727273,11
reorganized,reorganized,1.067702499536063,0.7272727272727273,11
victory,victory,0.8789611548617505,0.7272727272727273,11
stedman,Stedman,1.0,0.6666666666666666,12
1893,"1893,",1.0,0.6363636363636364,11
columnist,columnist,1.0,0.6363636363636364,11
alford,"Alford,",1.0,0.6363636363636364,11
marry,marry,0.8165006860544113,0.6,10
acre,acre,0.9763571465468116,0.5833333333333334,12
successively,successively,1.1544518185760018,0.5833333333333334,12
chevy,Chevy,0.9513368981779299,0.5833333333333334,12
significant,significant,0.9261595730181486,0.5833333333333334,12
111senator,111Senator,1.0,0.5833333333333334,12
jay,Jay,0.8902885567243769,0.5833333333333334,12
phi,Phi,1.004159771869152,0.5833333333333334,12
bartholomew,Bartholomew,1.04144835960452,0.5833333333333334,12
stanley,Stanley,0.8845685115335667,0.5833333333333334,12
enlisted,enlisted,0.9515677837279545,0.5833333333333334,12
further,further,0.8434343214572972,0.5454545454545454,11
ethics,Ethics,0.933786019816252,0.5454545454545454,11
own,own,0.7579998291463711,0.5454545454545454,11
mgm,MGM,1.0,0.5454545454545454,11
relatively,relatively,0.9534651490019204,0.5454545454545454,11
dot,Dot,0.9253169519632022,0.5454545454545454,11
progressive,progressive,0.9754988232529166,0.5454545454545454,11
1891,"1891,",1.0,0.5454545454545454,11
rae,Rae,1.0,0.5454545454545454,11
greatgreatgreatgreatgreat,great-great-great-great-great,1.0,0.5454545454545454,11
associate,associate,0.9133385148484267,0.5454545454545454,11
hat,"Hat,",0.8356909352036831,0.5454545454545454,11
winifred,Winifred,1.0,0.5454545454545454,11
stephen,Stephen,0.8978613653688428,0.5454545454545454,11
marilyn,Marilyn,0.9139588849988113,0.5454545454545454,11
retreat,retreat,0.911157617052064,0.5,12
finance,finance,0.9337860198162519,0.5,12
simmons,Simmons,0.931353430327721,0.5,12
vernon,Vernon,0.9495368683110622,0.5,12
recommended,recommended,0.9339338900884934,0.5,12
regarding,(regarding,0.9156469626972084,0.5,12
godalming,"Godalming,",1.0,0.5,12
coretta,Coretta,1.0,0.5,12
petitioned,petitioned,1.0488729092819131,0.5,12
1904,"1904,",1.0,0.5,10
unfailingly,unfailingly,1.1270854553338217,0.5,12
compilation,compilation,1.051694203258274,0.5,12
sociology,Sociology,1.0333210494927647,0.5,12
otto,Otto,0.9240858089345351,0.5,12
ironman,ironman,1.1544518185760018,0.5,12
saviours,Saviour's,1.1110771590560324,0.5,12
missed,missed,0.8225306750714125,0.5,12
meuseargonne,Meuse-Argonne,1.0,0.5,12
heart,Heart),0.7829354464183086,0.5,12
friend,friend,0.7615895904843119,0.5,10
aboard,aboard,0.8704208030510051,0.5,12
alberta,Alberta,1.0392543887211825,0.5,12
darwins,"""Darwin's",1.0,0.5,12
aunt,aunt,0.8416419020246183,0.5,12
themes,themes,0.9955256343027107,0.5,12
excessive,excessive,0.9649448842183351,0.5,12
beta,Beta,0.9513368981779299,0.5,12
gordon,Gordon,1.0,0.5,12
erasmus,Erasmus,1.0776247240292511,0.5,12
devised,devised,0.9847893332047112,0.5,12
council,council,0.8883272401179086,0.5,12
envoy,envoy,1.0059546862505846,0.5,12
lunar,Lunar,0.9714666163300768,0.5,12
thereby,thereby,0.9826971183481555,0.5,12
rival,rival,0.947500745469343,0.5,12
lasting,lasting,0.966266557975297,0.5,12
winthrops,(Winthrop's,1.0,0.5,12
1830,"1830,",1.0,0.5,12
knight,Knight,0.8702285355367466,0.4722222222222222,36
raymond,Raymond,1.0,0.4583333333333333,24
