word,original_forms,length,frequency,log_frequency,predictability,skip_probability,total_occurrences
j,J.,1,1.0,0.0,0.00014254380923040138,1.0,12
16,"16,",2,1.0,0.0,0.00010000000000000003,1.0,12
1924,1924),4,1.0,0.0,0.00010000000000000003,1.0,12
upon,upon,4,62.73000000000001,1.7974752875373345,0.00010000000000000003,0.9166666666666666,12
aunt,aunt,4,55.20000000000001,1.7419390777291992,0.00010000000000000003,0.9166666666666666,12
s,S.,1,1.0,0.0,0.027950974666962742,0.9166666666666666,12
rico,Rico),4,1.0,0.0,0.00010000000000000003,0.9166666666666666,12
c,"(c., c.",1,1.0,0.0,0.0,0.9090909090909091,22
own,own,3,459.1999999999999,2.6620018793899165,0.0,0.9090909090909091,11
t,T.,1,1.0,0.0,0.00010000000000000003,0.9090909090909091,11
,"&, -, --, ...",0,1.0,0.0,9.556701484833807e-05,0.9032258064516129,372
8,"8,",1,1.0,0.0,9.999999999999999e-05,0.875,24
3,"3,",1,1.0,0.0,5.217391304347828e-05,0.8695652173913043,23
9,"9,",1,1.0,0.0,9.999999999999999e-05,0.8333333333333334,24
nee,(nee,3,0.4699999999999998,-0.32790214206428253,0.00010000000000000003,0.8333333333333334,12
whig,Whig,4,0.06000000000000002,-1.2218487496163564,0.00010000000000000003,0.8333333333333334,12
got,got,3,3306.4899999999984,3.519367213581241,0.0003333685861033582,0.8333333333333334,12
40,(40,2,1.0,0.0,0.00010000000000000003,0.8333333333333334,12
30,"30,",2,1.0,0.0,0.00010000000000000003,0.8333333333333334,12
jane,Jane,4,42.98000000000001,1.633266411155425,0.00010000000000000003,0.8333333333333334,12
stock,"stock,",5,25.490000000000006,1.406369835469267,0.0,0.8181818181818182,11
lion,Lion,4,15.349999999999996,1.1861083798132055,0.00010000000000000003,0.8181818181818182,11
alford,"Alford,",6,1.0,0.0,0.00010000000000000003,0.8181818181818182,11
1638,1638,4,1.0,0.0,0.0,0.8181818181818182,11
1941,1941-,4,1.0,0.0,0.00010000000000000003,0.8181818181818182,11
red,Red,3,148.05999999999997,2.170437745046183,0.0,0.8181818181818182,11
it,it,2,18896.310000000023,4.27637700506755,0.0704673758537978,0.8085106382978723,47
friend,friend,6,419.2900000000001,2.6225145046725693,0.00020952395959965292,0.8,10
dr,Dr.,2,297.92,2.4740996593012485,0.00010000000000000002,0.8,10
von,von,3,10.860000000000007,1.0358298252528284,9.999999999999999e-05,0.7916666666666666,24
25,"25,",2,1.0,0.0,9.999999999999999e-05,0.7916666666666666,48
de,de,2,42.36999999999995,1.62705846400099,0.00015107463063592243,0.7872340425531915,47
within,"Within, within",6,59.160000000000004,1.7720281653248549,8.345424452620666e-05,0.782608695652174,23
20,"20,",2,1.0,0.0,5.217391304347828e-05,0.782608695652174,23
or,or,2,1705.2899999999995,3.231798245316827,0.0007645118126641687,0.782608695652174,46
11,"11,",2,1.0,0.0,9.999999999999994e-05,0.7777777777777778,36
27,"27,",2,1.0,0.0,9.999999999999994e-05,0.7777777777777778,36
of,of,2,11577.239999999392,4.06360503645196,0.2681671329317363,0.7504850601474583,2577
phi,Phi,3,0.9000000000000002,-0.04575749056067512,0.00010000000000000003,0.75,12
see,(see,3,2556.73,3.4076848673687645,0.00010000000000000003,0.75,12
how,how,3,3056.2200000000007,3.485184613433453,0.00010000000000000003,0.75,12
1910,1910,4,1.0,0.0,0.00010000000000000003,0.75,12
go,go,2,3793.0400000000004,3.5789874226362675,0.00925047316404662,0.75,12
julia,Julia,5,1.0,0.0,0.00010000000000000003,0.75,12
away,away,4,730.8999999999997,2.863857961883973,0.013500139592490365,0.75,12
older,older,5,41.86000000000001,1.621799224002668,0.00010000000000000003,0.75,12
genre,genre,5,1.0600000000000003,0.02530586526477026,0.00010000000000000003,0.75,12
acre,acre,4,1.82,0.26007138798507473,0.00010000000000000003,0.75,12
